# Title: sfcvm Horizontal Slice at 1000m
# CVM(abbr): sfcvm
# Data_type: vs
# Depth(m): 1000 
# Spacing(degree): 0.003
# Lon_pts: 69 
# Lat_pts: 55 
# Total_pts: 3795
# Min_v: 1784.4119873046875
# Max_v: 2656.2099609375
# Mean_v: 2251.7001953125
# Lat1: 36.8483
# Lon1: -121.3225
# Lat2: 37.0098
# Lon2: -121.1206
# lon,lat,vs
-121.3225,36.8483,1784.8330078125
-121.3225,36.8513,1784.886962890625
-121.3225,36.8543,1784.842041015625
-121.3225,36.8573,1784.7869873046875
-121.3225,36.8603,1784.7640380859375
-121.3225,36.8633,1784.6719970703125
-121.3225,36.8663,1784.572021484375
-121.3225,36.8693,1784.4639892578125
-121.3225,36.8723,1784.4119873046875
-121.3225,36.8753,1784.4189453125
-121.3225,36.8783,1784.43505859375
-121.3225,36.8813,2414.718994140625
-121.3225,36.8843,2649.882080078125
-121.3225,36.8873,2649.89501953125
-121.3225,36.8903,2649.81591796875
-121.3225,36.8933,2649.81005859375
-121.3225,36.8963,2649.910888671875
-121.3225,36.8993,2650.051025390625
-121.3225,36.9023,2649.992919921875
-121.3225,36.9053,2650.260009765625
-121.3225,36.9083,2650.881103515625
-121.3225,36.9113,2651.23388671875
-121.3225,36.9143,2651.115966796875
-121.3225,36.9173,2650.424072265625
-121.3225,36.9203,2650.429931640625
-121.3225,36.9233,2650.5380859375
-121.3225,36.9263,2651.034912109375
-121.3225,36.9293,2650.697021484375
-121.3225,36.9323,2650.426025390625
-121.3225,36.9353,2650.993896484375
-121.3225,36.9383,2651.044921875
-121.3225,36.9413,2650.714111328125
-121.3225,36.9443,2650.802001953125
-121.3225,36.9473,2650.842041015625
-121.3225,36.9503,2651.06005859375
-121.3225,36.9533,2650.7919921875
-121.3225,36.9563,2650.23095703125
-121.3225,36.9593,2650.157958984375
-121.3225,36.9623,2651.094970703125
-121.3225,36.9653,2651.610107421875
-121.3225,36.9683,2651.592041015625
-121.3225,36.9713,2651.638916015625
-121.3225,36.9743,2651.804931640625
-121.3225,36.9773,2652.2099609375
-121.3225,36.9803,2652.138916015625
-121.3225,36.9833,2651.68798828125
-121.3225,36.9863,2651.610107421875
-121.3225,36.9893,2651.429931640625
-121.3225,36.9923,2651.675048828125
-121.3225,36.9953,2651.281005859375
-121.3225,36.9983,2650.55810546875
-121.3225,37.0013,2650.0869140625
-121.3225,37.0043,2649.8701171875
-121.3225,37.0073,2649.93994140625
-121.3225,37.0103,2650.2919921875
-121.3195,36.8483,1784.7679443359375
-121.3195,36.8513,1784.7919921875
-121.3195,36.8543,1784.781005859375
-121.3195,36.8573,1784.8070068359375
-121.3195,36.8603,1784.7459716796875
-121.3195,36.8633,1784.7120361328125
-121.3195,36.8663,1784.68701171875
-121.3195,36.8693,1784.5870361328125
-121.3195,36.8723,1784.4630126953125
-121.3195,36.8753,1784.4520263671875
-121.3195,36.8783,1784.458984375
-121.3195,36.8813,2611.9189453125
-121.3195,36.8843,2649.930908203125
-121.3195,36.8873,2649.9619140625
-121.3195,36.8903,2649.9970703125
-121.3195,36.8933,2650.0869140625
-121.3195,36.8963,2650.239013671875
-121.3195,36.8993,2650.333984375
-121.3195,36.9023,2650.12109375
-121.3195,36.9053,2650.3310546875
-121.3195,36.9083,2651.048095703125
-121.3195,36.9113,2651.458984375
-121.3195,36.9143,2651.388916015625
-121.3195,36.9173,2650.837890625
-121.3195,36.9203,2650.697998046875
-121.3195,36.9233,2650.680908203125
-121.3195,36.9263,2651.156005859375
-121.3195,36.9293,2650.883056640625
-121.3195,36.9323,2650.577880859375
-121.3195,36.9353,2651.15087890625
-121.3195,36.9383,2650.991943359375
-121.3195,36.9413,2650.76904296875
-121.3195,36.9443,2650.8779296875
-121.3195,36.9473,2650.93798828125
-121.3195,36.9503,2650.8720703125
-121.3195,36.9533,2650.3330078125
-121.3195,36.9563,2650.030029296875
-121.3195,36.9593,2650.447021484375
-121.3195,36.9623,2651.306884765625
-121.3195,36.9653,2651.712890625
-121.3195,36.9683,2651.781005859375
-121.3195,36.9713,2651.988037109375
-121.3195,36.9743,2652.094970703125
-121.3195,36.9773,2652.26611328125
-121.3195,36.9803,2651.992919921875
-121.3195,36.9833,2651.801025390625
-121.3195,36.9863,2651.6220703125
-121.3195,36.9893,2651.10693359375
-121.3195,36.9923,2650.69189453125
-121.3195,36.9953,2650.431884765625
-121.3195,36.9983,2650.031982421875
-121.3195,37.0013,2650.050048828125
-121.3195,37.0043,2650.340087890625
-121.3195,37.0073,2650.532958984375
-121.3195,37.0103,2650.550048828125
-121.3165,36.8483,1784.68798828125
-121.3165,36.8513,1784.7099609375
-121.3165,36.8543,1784.7359619140625
-121.3165,36.8573,1784.782958984375
-121.3165,36.8603,1784.802978515625
-121.3165,36.8633,1784.822021484375
-121.3165,36.8663,1784.7869873046875
-121.3165,36.8693,1784.802978515625
-121.3165,36.8723,1784.5889892578125
-121.3165,36.8753,1784.509033203125
-121.3165,36.8783,1784.5240478515625
-121.3165,36.8813,2649.888916015625
-121.3165,36.8843,2649.969970703125
-121.3165,36.8873,2650.032958984375
-121.3165,36.8903,2650.14892578125
-121.3165,36.8933,2650.305908203125
-121.3165,36.8963,2650.47509765625
-121.3165,36.8993,2650.572998046875
-121.3165,36.9023,2650.327880859375
-121.3165,36.9053,2650.52099609375
-121.3165,36.9083,2650.7060546875
-121.3165,36.9113,2651.260986328125
-121.3165,36.9143,2651.263916015625
-121.3165,36.9173,2651.214111328125
-121.3165,36.9203,2650.735107421875
-121.3165,36.9233,2650.968017578125
-121.3165,36.9263,2651.509033203125
-121.3165,36.9293,2651.096923828125
-121.3165,36.9323,2650.697998046875
-121.3165,36.9353,2651.14404296875
-121.3165,36.9383,2650.7529296875
-121.3165,36.9413,2650.535888671875
-121.3165,36.9443,2650.625
-121.3165,36.9473,2650.568115234375
-121.3165,36.9503,2650.362060546875
-121.3165,36.9533,2650.14599609375
-121.3165,36.9563,2650.072021484375
-121.3165,36.9593,2650.429931640625
-121.3165,36.9623,2651.011962890625
-121.3165,36.9653,2651.34912109375
-121.3165,36.9683,2651.81591796875
-121.3165,36.9713,2652.175048828125
-121.3165,36.9743,2652.299072265625
-121.3165,36.9773,2652.14892578125
-121.3165,36.9803,2651.9150390625
-121.3165,36.9833,2652.0458984375
-121.3165,36.9863,2651.7041015625
-121.3165,36.9893,2651.22705078125
-121.3165,36.9923,2650.364013671875
-121.3165,36.9953,2650.0029296875
-121.3165,36.9983,2649.988037109375
-121.3165,37.0013,2650.60009765625
-121.3165,37.0043,2651.179931640625
-121.3165,37.0073,2651.090087890625
-121.3165,37.0103,2650.9619140625
-121.3135,36.8483,1784.699951171875
-121.3135,36.8513,1784.717041015625
-121.3135,36.8543,1784.75
-121.3135,36.8573,1784.81103515625
-121.3135,36.8603,1784.887939453125
-121.3135,36.8633,1784.9229736328125
-121.3135,36.8663,1784.886962890625
-121.3135,36.8693,1784.9610595703125
-121.3135,36.8723,1784.7130126953125
-121.3135,36.8753,1784.615966796875
-121.3135,36.8783,1797.4630126953125
-121.3135,36.8813,2649.97607421875
-121.3135,36.8843,2650.074951171875
-121.3135,36.8873,2650.14111328125
-121.3135,36.8903,2650.256103515625
-121.3135,36.8933,2650.498046875
-121.3135,36.8963,2650.714111328125
-121.3135,36.8993,2650.876953125
-121.3135,36.9023,2650.591064453125
-121.3135,36.9053,2650.886962890625
-121.3135,36.9083,2650.64697265625
-121.3135,36.9113,2650.77197265625
-121.3135,36.9143,2651.02294921875
-121.3135,36.9173,2651.535888671875
-121.3135,36.9203,2650.85595703125
-121.3135,36.9233,2651.14794921875
-121.3135,36.9263,2651.736083984375
-121.3135,36.9293,2651.31005859375
-121.3135,36.9323,2650.81298828125
-121.3135,36.9353,2651.00390625
-121.3135,36.9383,2650.51904296875
-121.3135,36.9413,2650.388916015625
-121.3135,36.9443,2650.346923828125
-121.3135,36.9473,2650.25
-121.3135,36.9503,2650.342041015625
-121.3135,36.9533,2650.29296875
-121.3135,36.9563,2650.23095703125
-121.3135,36.9593,2650.364990234375
-121.3135,36.9623,2650.544921875
-121.3135,36.9653,2651.06396484375
-121.3135,36.9683,2651.528076171875
-121.3135,36.9713,2652.06201171875
-121.3135,36.9743,2652.18701171875
-121.3135,36.9773,2652.14794921875
-121.3135,36.9803,2651.904052734375
-121.3135,36.9833,2651.8720703125
-121.3135,36.9863,2651.154052734375
-121.3135,36.9893,2650.6689453125
-121.3135,36.9923,2650.64892578125
-121.3135,36.9953,2650.532958984375
