# Title: Thompson Caliornia vs30 Model v2020 thru UCVM
# CVM(abbr): sfcvm
# Data_type: vs
# Depth(m): 0 
# Spacing(degree): 0.006
# Lon_pts: 82 
# Lat_pts: 51 
# Total_pts: 4182
# Min_v: 292.1730041503906
# Max_v: 733.4000244140625
# Mean_v: 564.2862548828125
# Lat1: 36.5868
# Lon1: -121.307
# Lat2: 36.8856
# Lon2: -120.8256
# lon,lat,vs
-121.307,36.5868,670.875
-121.307,36.5928,710.1010131835938
-121.307,36.5988,710.1010131835938
-121.307,36.6048,710.1010131835938
-121.307,36.6108,710.1010131835938
-121.307,36.6168,710.1010131835938
-121.307,36.6228,710.1010131835938
-121.307,36.6288,710.1010131835938
-121.307,36.6348,710.1010131835938
-121.307,36.6408,710.1010131835938
-121.307,36.6468,710.1010131835938
-121.307,36.6528,710.1010131835938
-121.307,36.6588,710.1019897460938
-121.307,36.6648,710.1019897460938
-121.307,36.6708,710.1019897460938
-121.307,36.6768,710.1019897460938
-121.307,36.6828,710.1019897460938
-121.307,36.6888,618.3909912109375
-121.307,36.6948,385.10101318359375
-121.307,36.7008,385.10198974609375
-121.307,36.7068,385.10198974609375
-121.307,36.7128,385.10198974609375
-121.307,36.7188,375.9049987792969
-121.307,36.7248,351.8970031738281
-121.307,36.7308,379.1910095214844
-121.307,36.7368,366.0419921875
-121.307,36.7428,411.20098876953125
-121.307,36.7488,486.9179992675781
-121.307,36.7548,484.0979919433594
-121.307,36.7608,490.4330139160156
-121.307,36.7668,425.125
-121.307,36.7728,414.2250061035156
-121.307,36.7788,412.6919860839844
-121.307,36.7848,351.8999938964844
-121.307,36.7908,486.7409973144531
-121.307,36.7968,462.0979919433594
-121.307,36.8028,502.5
-121.307,36.8088,502.5
-121.307,36.8148,488.8030090332031
-121.307,36.8208,484.6419982910156
-121.307,36.8268,502.5
-121.307,36.8328,502.5
-121.307,36.8388,502.5
-121.307,36.8448,351.8970031738281
-121.307,36.8508,351.89599609375
-121.307,36.8568,402.67401123046875
-121.307,36.8628,472.27801513671875
-121.307,36.8688,502.5
-121.307,36.8748,518.9180297851562
-121.307,36.8808,518.9190063476562
-121.307,36.8868,502.5
-121.301,36.5868,710.1010131835938
-121.301,36.5928,710.1010131835938
-121.301,36.5988,710.1010131835938
-121.301,36.6048,710.1010131835938
-121.301,36.6108,710.1010131835938
-121.301,36.6168,710.1010131835938
-121.301,36.6228,710.1010131835938
-121.301,36.6288,710.1010131835938
-121.301,36.6348,710.1010131835938
-121.301,36.6408,710.1010131835938
-121.301,36.6468,710.1010131835938
-121.301,36.6528,710.1010131835938
-121.301,36.6588,710.1010131835938
-121.301,36.6648,710.1019897460938
-121.301,36.6708,710.1019897460938
-121.301,36.6768,672.2130126953125
-121.301,36.6828,660.3909912109375
-121.301,36.6888,382.4389953613281
-121.301,36.6948,369.6159973144531
-121.301,36.7008,351.8710021972656
-121.301,36.7068,351.8800048828125
-121.301,36.7128,351.88800048828125
-121.301,36.7188,351.89300537109375
-121.301,36.7248,351.89599609375
-121.301,36.7308,367.927001953125
-121.301,36.7368,410.1809997558594
-121.301,36.7428,438.0119934082031
-121.301,36.7488,484.385009765625
